arm,confidence,defect_id,design,false_positive_cluster,item_id,kind,material,packet,rater,repeat,set_id
M1,high,KR-06,stage_a,,i-01f526e2c7575730,raw_union,True,02-key-rotation,llm:gemini-3.5-flash-low,0,s-6bd3f61686e50d7b
M2,high,RD-03,stage_a,,i-03a4af4f264b34e6,raw_union,True,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-798c1420f8868b91
S1,high,KR-02,stage_a,,i-03fa335590b03e21,final,True,02-key-rotation,llm:gemini-3.5-flash-low,0,s-e16188cc1a7701e3
M1,high,RD-06,stage_a,,i-0432283b36244116,fused,True,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-f0c51f1455e173d4
M2,high,KR-02,stage_a,,i-04518844c8560f81,raw_union,True,02-key-rotation,llm:gemini-3.5-flash-low,0,s-6f1968681a3ce1bc
M2,high,KR-01,stage_a,,i-0489bafd08de9c6e,raw_union,True,02-key-rotation,llm:gemini-3.5-flash-low,0,s-6f1968681a3ce1bc
M0,high,NONE,stage_a,pre_insert_select_count_query_cost_and_latency,i-04ef5a688959ec65,raw_union,True,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-e3de02c3551eccbb
M1,high,RD-05,stage_a,,i-053dcabeedac7328,raw_union,True,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-e44ee33b4ef4b691
M0,high,RD-05,stage_a,,i-054bea0fb195a11d,raw_union,True,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-6028d9d664d317e1
M0,high,RD-04,stage_a,,i-068ac02387b63315,raw_union,True,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-6028d9d664d317e1
S0,high,RD-01,stage_a,,i-07bef9ca028722d1,final,True,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-dc7948f22a064716
M0,high,RD-01,stage_a,,i-07d6257afd014a1d,raw_union,True,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-6028d9d664d317e1
S0,high,RD-05,stage_a,,i-07db85b1b8fc2334,final,True,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-dc7948f22a064716
M1,high,KR-06,stage_a,,i-08d3de4b13b8c29f,fused,True,02-key-rotation,llm:gemini-3.5-flash-low,0,s-d90863a96a16a9bb
M1,high,WH-06,stage_a,,i-0a42c0c9d631e765,fused,True,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-b592675c6c064d99
S2,high,WH-07,stage_a,,i-0a98343347b138ce,final,True,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-e7be12998863ac2e
M0,high,RD-07,stage_a,,i-0e4435e6e05df37e,raw_union,True,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-6028d9d664d317e1
M1,high,KR-04,stage_a,,i-115117101a7f030c,raw_union,True,02-key-rotation,llm:gemini-3.5-flash-low,0,s-6bd3f61686e50d7b
M2,high,NONE,stage_a,poison_pill_queue_blocking,i-11a26c1f73c438c2,raw_union,False,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-8e54f5f80931c3e8
M1,high,NONE,stage_a,hourly_full_table_rebuild_inefficiency,i-11b5e5fa3897d548,fused,False,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-f0c51f1455e173d4
M2,high,KR-04,stage_a,,i-12199f13c2880cc9,raw_union,True,02-key-rotation,llm:gemini-3.5-flash-low,0,s-6f1968681a3ce1bc
M1,high,RD-06,stage_a,,i-137327a15ba81db6,raw_union,True,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-e44ee33b4ef4b691
M0,high,RD-05,stage_a,,i-1488179561a66f64,fused,True,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-5c68f29210f911f5
M0,high,RD-03,stage_a,,i-1494b66a16aab5d7,raw_union,True,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-6028d9d664d317e1
M2,medium,KR-06,stage_a,,i-153a4f4b71d5889d,raw_union,True,02-key-rotation,llm:gemini-3.5-flash-low,0,s-6f1968681a3ce1bc
M0,high,RD-01,stage_a,,i-1578ad44b111bf5a,raw_union,True,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-6028d9d664d317e1
M2,high,KR-02,stage_a,,i-15c5623df8e1301b,fused,True,02-key-rotation,llm:gemini-3.5-flash-low,0,s-eaaede1cd4582b63
M0,high,WH-08,stage_a,,i-169647e437a81b71,raw_union,True,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-e3de02c3551eccbb
M2,high,RD-02,stage_a,,i-176b4e854a21bbb5,raw_union,True,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-798c1420f8868b91
M1,high,KR-06,stage_a,,i-18ec997f22e85522,raw_union,True,02-key-rotation,llm:gemini-3.5-flash-low,0,s-6bd3f61686e50d7b
S1,high,NONE,stage_a,expensive_pre_insert_lookup,i-191a5727a080ad18,final,True,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-ff98dbfc48abd940
M1,high,RD-05,stage_a,,i-1958e90f0d7b40c3,raw_union,True,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-e44ee33b4ef4b691
M2,high,WH-08,stage_a,,i-1a6f466a7be569b0,fused,True,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-afa585069bf1de94
S2,high,RD-04,stage_a,,i-1a70a8910bcefd70,final,True,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-6bb2afe99d266359
M0,high,NONE,stage_a,check_before_insert_latency_and_cost,i-1acecd2e2bd6c276,fused,True,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-788041f019fc2225
S1,high,KR-06,stage_a,,i-1c33d76da236f9b6,final,True,02-key-rotation,llm:gemini-3.5-flash-low,0,s-e16188cc1a7701e3
M1,high,WH-02,stage_a,,i-1c53ad1c9b6feae8,raw_union,True,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-729e6b3b472a7954
M0,high,RD-07,stage_a,,i-1cf1de3f1d2e5a1c,raw_union,True,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-6028d9d664d317e1
M2,high,NONE,stage_a,pre_insert_check_cost_and_latency,i-1d1dea1d6f805553,raw_union,False,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-8e54f5f80931c3e8
M0,high,RD-04,stage_a,,i-1e3c66b447775271,raw_union,True,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-6028d9d664d317e1
S1,high,WH-04,stage_a,,i-1ef693ac491ce33b,final,True,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-ff98dbfc48abd940
M0,high,KR-06,stage_a,,i-1f4eba29bd529a9d,raw_union,True,02-key-rotation,llm:gemini-3.5-flash-low,0,s-c1918cee7769696e
M0,high,KR-02,stage_a,,i-1ff4313871719612,fused,True,02-key-rotation,llm:gemini-3.5-flash-low,0,s-316a2dadea9718fc
M2,high,RD-01,stage_a,,i-205ed10d50b832ed,raw_union,True,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-798c1420f8868b91
M2,high,WH-06,stage_a,,i-223a0770cbd41176,raw_union,True,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-8e54f5f80931c3e8
M1,high,KR-04,stage_a,,i-229d8a66fb2d0c70,raw_union,True,02-key-rotation,llm:gemini-3.5-flash-low,0,s-6bd3f61686e50d7b
M0,high,KR-07,stage_a,,i-232ced04cb9ed1f0,raw_union,True,02-key-rotation,llm:gemini-3.5-flash-low,0,s-c1918cee7769696e
M1,high,KR-01,stage_a,,i-23c190f15cec7cfe,fused,True,02-key-rotation,llm:gemini-3.5-flash-low,0,s-d90863a96a16a9bb
M0,high,KR-04,stage_a,,i-241c8f0f8de8662d,raw_union,True,02-key-rotation,llm:gemini-3.5-flash-low,0,s-c1918cee7769696e
M2,high,KR-06,stage_a,,i-242ea8448dd52c87,raw_union,True,02-key-rotation,llm:gemini-3.5-flash-low,0,s-6f1968681a3ce1bc
M1,high,KR-04,stage_a,,i-24681cf8828c47d6,raw_union,True,02-key-rotation,llm:gemini-3.5-flash-low,0,s-6bd3f61686e50d7b
M0,high,WH-06,stage_a,,i-25ff8aa9937d7b42,raw_union,True,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-e3de02c3551eccbb
M0,high,KR-04,stage_a,,i-2689c783ffc57193,raw_union,True,02-key-rotation,llm:gemini-3.5-flash-low,0,s-c1918cee7769696e
M1,high,RD-07,stage_a,,i-27391bdd6ab99eb1,raw_union,True,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-e44ee33b4ef4b691
M1,high,KR-05,stage_a,,i-27af8c2a0a713fdf,fused,True,02-key-rotation,llm:gemini-3.5-flash-low,0,s-d90863a96a16a9bb
M0,high,NONE,stage_a,pre_insert_select_count_query_cost_and_latency,i-27b2e5c2302af702,raw_union,True,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-e3de02c3551eccbb
S0,high,RD-07,stage_a,,i-2843375de1aacea1,final,True,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-dc7948f22a064716
S1,high,RD-03,stage_a,,i-28a58e426d0ae530,final,True,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-432cca897b86d789
M1,high,WH-01,stage_a,,i-28cdfe8cfdaebe35,fused,True,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-b592675c6c064d99
M2,high,RD-03,stage_a,,i-29180a29b936472c,raw_union,True,01-revenue-dashboard,llm:gemini-3.5-flash-low,0,s-798c1420f8868b91
M0,high,WH-04,stage_a,,i-29876e93aa2fc442,raw_union,True,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-e3de02c3551eccbb
M2,high,WH-06,stage_a,,i-2a87e736c549eb88,fused,True,03-webhook-redesign,llm:gemini-3.5-flash-low,0,s-afa585069bf1de94
M0,high,KR-02,stage_a,,i-2b2ecacc35a5a80c,raw_union,True,02-key-rotation,llm:gemini-3.5-flash-low,0,s-c1918cee7769696e
