adapter,confidence,defect_id,design,false_positive_cluster,item_id,kind,material,model,packet,provider_index,rater,repeat,set_id,wrapper
pi,high,WH-02,provider_pair,,i-009615b3df7157f5,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,4,s-89462d80ba90c99a,functional
pi,high,WH-01,provider_pair,,i-00ec7c140e3fc532,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,0,s-e569287fc546ab8c,functional
pi,high,RD-03,provider_pair,,i-04a9fa757f04fa5c,final,True,gemma-4-31b-it,01-revenue-dashboard,0,llm:gemini-3.5-flash-low,2,s-ef7b0d309515cc99,functional
pi,high,RD-04,provider_pair,,i-06261d150cd56a81,final,True,gemma-4-31b-it,01-revenue-dashboard,0,llm:gemini-3.5-flash-low,3,s-00f99471917e1a1b,fictional
pi,high,RD-05,provider_pair,,i-08fbe67a2255b23f,final,True,gemma-4-31b-it,01-revenue-dashboard,0,llm:gemini-3.5-flash-low,9,s-92b12c7d7f604117,fictional
pi,high,RD-04,provider_pair,,i-0b7c52015466834f,final,True,gemma-4-31b-it,01-revenue-dashboard,0,llm:gemini-3.5-flash-low,9,s-92b12c7d7f604117,fictional
pi,high,RD-04,provider_pair,,i-0bf0718a7f2991a7,final,True,gemma-4-31b-it,01-revenue-dashboard,0,llm:gemini-3.5-flash-low,6,s-6fa072e14cf8c2b9,functional
pi,high,NONE,provider_pair,vague_or_missing_rollback_instructions,i-0cf37c4166fb419c,final,False,gemma-4-31b-it,02-key-rotation,0,llm:gemini-3.5-flash-low,7,s-3f0eff7649e86d06,fictional
pi,high,KR-06,provider_pair,,i-0dd0cf3e211b8768,final,True,gemma-4-31b-it,02-key-rotation,0,llm:gemini-3.5-flash-low,8,s-6d0a35d56b6732f0,functional
pi,high,RD-02,provider_pair,,i-105ed99e82e50113,final,True,gemma-4-31b-it,01-revenue-dashboard,0,llm:gemini-3.5-flash-low,4,s-d79542b71c32a2a4,fictional
pi,high,WH-07,provider_pair,,i-114c28778babc314,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,4,s-89462d80ba90c99a,functional
pi,high,WH-01,provider_pair,,i-12309fa914142fca,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,1,s-099364b668aa19e8,functional
pi,high,KR-05,provider_pair,,i-133814c0cb8c148a,final,True,gemma-4-31b-it,02-key-rotation,0,llm:gemini-3.5-flash-low,9,s-648904e78830f6fb,functional
pi,high,WH-08,provider_pair,,i-13f6d6706737e7ee,final,True,gemma-4-31b-it,03-webhook-redesign,0,llm:gemini-3.5-flash-low,8,s-c83372d05ce57c90,fictional
pi,high,RD-03,provider_pair,,i-15a8b9ee8d8fd2ce,final,True,gemma-4-31b-it,01-revenue-dashboard,0,llm:gemini-3.5-flash-low,3,s-00f99471917e1a1b,fictional
pi,high,KR-02,provider_pair,,i-164a6113873c52e5,final,True,gemma-4-31b-it,02-key-rotation,0,llm:gemini-3.5-flash-low,2,s-22cdf15128db9ff6,fictional
pi,high,RD-05,provider_pair,,i-16f1499c61cd1ee3,final,True,gemma-4-31b-it,01-revenue-dashboard,0,llm:gemini-3.5-flash-low,2,s-ef7b0d309515cc99,functional
